lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
48.3030874, 14.299296,3,12,16,21,28
48.2768012, 14.3122401,0,11,15,20,26
48.2911522, 14.3171652,2,16,21,28,37
48.2908113, 14.317779,0,15,20,27,35
48.2930772, 14.3136802,3,16,22,29,38
48.2931883, 14.3134747,0,20,27,37,48
48.2948435, 14.3104614,0,17,23,30,40
48.2949713, 14.3102329,3,12,16,22,29
48.2968123, 14.3068998,0,17,23,31,41
48.2963103, 14.3078129,4,11,15,20,27
48.2550234, 14.3229034,0,13,18,24,32
48.2920505, 14.2721545,0,14,19,26,34
48.2921767, 14.3025378,3,19,25,34,44
48.2928928, 14.3057632,0,13,17,23,30
48.2907297, 14.2758388,0,12,17,22,30
48.3421059, 14.2931608,1,14,19,26,34
48.3380272, 14.2931126,2,13,17,23,31
48.3270725, 14.2845962,0,17,23,31,41
48.3233654, 14.2832654,3,12,16,21,28
48.3232212, 14.2831648,0,12,16,21,28
48.3209645, 14.2831355,3,13,18,24,32
48.3053019, 14.3060816,3,13,18,24,32
48.2462254, 14.327248,0,19,26,35,46
48.2407675, 14.3345239,0,17,23,30,40
48.2762391, 14.3122147,0,15,20,27,35
48.2688884, 14.3017444,3,11,15,21,27
48.2694608, 14.2977283,3,17,22,30,39
48.269546, 14.3007109,0,12,16,22,29
48.2360532, 14.331631,2,11,14,19,25
48.2368203, 14.3355125,2,17,23,31,41
48.2370951, 14.3295057,0,15,21,28,36
48.233765, 14.3563552,1,17,23,30,40
48.317634, 14.2795845,0,15,21,28,36
48.3176881, 14.2795269,0,17,22,30,39
48.3198179, 14.2772601,0,13,17,23,31
48.3198976, 14.277175,4,12,16,22,28
48.3212351, 14.2814139,0,16,22,29,38
48.3271282, 14.2790431,3,12,17,23,30
48.3283144, 14.2761316,3,13,17,23,30
48.2907796, 14.2762817,0,13,18,24,32
48.2980836, 14.299335,0,15,20,26,35
48.2848726, 14.2855625,0,14,18,25,32
48.2550326, 14.322625,4,11,15,20,26
48.2457568, 14.3280407,3,13,17,23,31
48.275628, 14.3115936,2,9,12,16,22
48.2776798, 14.2773768,0,16,22,29,38
48.2761166, 14.2864674,3,10,14,19,25
48.2731853, 14.3126396,3,12,16,21,28
48.2865508, 14.2721107,3,15,20,26,35
48.3184938, 14.3096844,1,13,17,23,30
